Na,Rm
10,3.16228
100,15.6525
200,20.8806
300,29.1548
400,31.0644
500,38.0132
600,42.4853
700,45.618
800,50.5668
900,54.1202
1000,57.2451
1100,59.4811
1200,63.9062
1300,65.307
1400,66.2118
1500,68.7968
1600,73.0068
1700,77.0065
1800,79.3221
1900,80.4301
2000,82.662
2100,87.6584
2200,88.7525
2300,89.6437
2400,92.9624
2500,95.5249
2600,96.0417
2700,96.566
2800,98.1835
2900,99.4786
3000,100.404
10,3.60555
100,15
200,22.3607
300,28.0179
400,34.2053
500,40
600,44.9444
700,47.1699
800,49.93
900,52.3259
1000,56.9386
1100,57.9828
1200,62.2656
1300,64.8845
1400,67.2309
1500,71.5891
1600,76.0592
1700,79.6492
1800,82.7647
1900,85.0882
2000,90.824
2100,94.414
2200,95.2943
2300,96.6023
2400,99.7296
2500,103.31
2600,105.119
2700,108.24
2800,110.463
2900,114.061
3000,116.276
10,3.16228
100,15.0333
200,21.0238
300,26.0768
400,30.0167
500,34.9285
600,39.5601
700,41.7852
800,45.2217
900,52.0384
1000,56.0803
1100,57.3149
1200,58.2151
1300,62.0725
1400,62.1289
1500,64.195
1600,67.1193
1700,70.1142
1800,72.111
1900,78.1025
2000,81.1542
2100,82.0244
2200,84.006
2300,85.0059
2400,86.0058
2500,87.023
2600,91.0055
2700,92.0054
2800,92.0869
2900,94.0851
3000,96.1301
10,3.16228
100,13.1529
200,18.4391
300,22.0227
400,26.6271
500,31.6228
600,35.805
700,39.4081
800,42.4382
900,46.2277
1000,48.5077
1100,52.469
1200,54.231
1300,55.3263
1400,56.4358
1500,59.0085
1600,62.0725
1700,66.1211
1800,66.4078
1900,69.4622
2000,71.5122
2100,74.7329
2200,78.721
2300,78.721
2400,81.2158
2500,85
2600,85
2700,87.7268
2800,87.7268
2900,88.8426
3000,90.802
10,4.47214
100,11.7047
200,19.3132
300,23.4094
400,29.6142
500,32.9848
600,37.6563
700,39.6232
800,41.5933
900,44.4072
1000,49.0408
1100,51.7397
1200,54.5619
1300,58.1378
1400,60.3075
1500,64.2806
1600,65.2763
1700,67.624
1800,69.4046
1900,72.2496
2000,75.452
2100,76.6094
2200,79.404
2300,81.6088
2400,83.4086
2500,86.4002
2600,87.3613
2700,88.3233
2800,90.2497
2900,92.72
3000,96.566
10,3
100,13.6015
200,21.6333
300,26.4008
400,31.3847
500,34.7131
600,38.0132
700,40.8044
800,46.2709
900,50.4876
1000,54.4518
1100,57.3149
1200,61.2944
1300,62.514
1400,64.2806
1500,65.2763
1600,69.5845
1700,72.5603
1800,72.5603
1900,74.5252
2000,76.2955
2100,77.4661
2200,78.2624
2300,80.0625
2400,80.7775
2500,82.7103
2600,84.2021
2700,86.1278
2800,87.6413
2900,90.802
3000,91.7606
10,3
100,15.0333
200,22.1359
300,28.6356
400,36.2353
500,39.3573
600,44.7214
700,50.6063
800,57.8014
900,61.7171
1000,62.6498
1100,63.6318
1200,64.6607
1300,66.7083
1400,69.814
1500,71.8401
1600,75
1700,76.0592
1800,76.6094
1900,78.8162
2000,81.8413
2100,82.201
2200,84.8116
2300,87.8009
2400,90.802
2500,93.0054
2600,94.4034
2700,95
2800,96.0208
2900,97.2008
3000,98.6002
10,2.23607
100,16.4012
200,20.5913
300,26.4008
400,30.8058
500,34.8281
600,37.6431
700,40.3609
800,44.6878
900,46.0435
1000,49.2544
1100,52.345
1200,53.6004
1300,55.2268
1400,56.2939
1500,60.6383
1600,62.3699
1700,64.3273
1800,70.7107
1900,70.859
2000,75.6637
2100,78.6384
2200,79.7621
2300,81.5843
2400,84.5281
2500,88.2836
2600,89.2693
2700,91.2414
2800,93.3809
2900,94.3663
3000,95.0368
10,4.47214
100,13.0384
200,25
300,29
400,31.7648
500,36.0139
600,41.1947
700,46.0435
800,49.0408
900,52.6118
1000,55.7315
1100,59.4138
1200,62.514
1300,66.4831
1400,66.9104
1500,69.3542
1600,72.3395
1700,72.4431
1800,75.326
1900,76.4199
2000,80.2247
2100,82.2192
2200,84.214
2300,87.2067
2400,88.278
2500,88.6848
2600,89.6772
2700,91.1373
2800,92.7793
2900,96.7471
3000,97.7394
10,3.60555
100,16.9706
200,24.4131
300,28.4253
400,37.4833
500,41.7732
600,48.1664
700,51.6236
800,53.8145
900,59.4643
1000,63.6553
1100,65.1153
1200,68.6804
1300,70.1783
1400,74.027
1500,75.8024
1600,77.4209
1700,81.8413
1800,85.2115
1900,86.0233
2000,94.4034
2100,99.2975
2200,100.125
2300,100.955
2400,103.175
2500,106.78
2600,110.114
2700,111.83
2800,112.898
2900,113.811
3000,115.663
10,2.82843
100,14.1421
200,21.3776
300,25.4951
400,29.0689
500,34.0588
600,39.2046
700,43.0116
800,46.3249
900,49.4975
1000,53.4603
1100,55.4437
1200,59.4138
1300,61.2944
1400,64.2806
1500,66.1891
1600,68.469
1700,71.3442
1800,73.437
1900,76.6551
2000,78.6384
2100,79.7621
2200,82.7345
2300,83.6002
2400,84.4808
2500,87.367
2600,89.3588
2700,90.4268
2800,95.1893
2900,96.1873
3000,98.27
10,4
100,16.6433
200,24.4131
300,27.313
400,32.7567
500,36.6197
600,41.1096
700,49.3356
800,52.5547
900,56.356
1000,57.5847
1100,60.7454
1200,65
1300,69.1158
1400,69.9714
1500,70.4911
1600,73.9256
1700,76.1577
1800,77.5242
1900,79.2465
2000,81.0062
2100,82.7647
2200,84.8528
2300,86.3539
2400,91.2195
2500,93.3488
2600,96.1769
2700,98.3107
2800,99.0353
2900,101.178
3000,105.475
10,5.38516
100,13.0384
200,20.2485
300,27.4591
400,33.8378
500,36.6879
600,41.1096
700,43.0813
800,45.5412
900,48.4665
