Na,Rm
1000,52.2015
1100,55.7136
1200,57.0088
1300,61.0983
1400,63.9062
1500,64.846
1600,65.5515
1700,68.9638
1800,71.1688
1900,72.8011
2000,74.3303
2100,77.4919
2200,78.4347
2300,80.9568
2400,82
2500,85.3288
2600,90.0944
2700,91.2414
2800,92.228
2900,94.7259
3000,96.2549
10,2.82843
100,14.5602
200,20.5913
300,26.0768
400,35.2278
500,39.1152
600,44.1814
700,49.0306
800,53.7587
900,54.7449
1000,55.7315
1100,57.7062
1200,59.6825
1300,62.0967
1400,63.6003
1500,65.4599
1600,67.72
1700,71.5122
1800,74.0945
1900,76.896
2000,77.8332
2100,78.7718
2200,80.0562
2300,81.7068
2400,83.2166
2500,85.0941
2600,88.1022
2700,89.4427
2800,92.1358
2900,93.4719
3000,94.8472
10,3.60555
100,14.8661
200,25.2982
300,32.5576
400,35.3553
500,40.3113
600,44.4072
700,46.5296
800,48.5077
900,50.3587
1000,52.0096
1100,54.037
1200,57.2189
1300,62.2013
1400,63.5059
1500,65.0077
1600,68.0294
1700,70.0071
1800,71.007
1900,71.2531
2000,77.2334
2100,77.3175
2200,79.511
2300,80.399
2400,80.5047
2500,81.2158
2600,82.201
2700,83.5464
2800,85.9884
2900,87.9659
3000,88.1192
10,3.16228
100,15.0333
200,23.3452
300,30.4138
400,33.1361
500,37.1214
600,40.5216
700,44.3847
800,45.607
900,51.4198
1000,55.109
1100,55.7315
1200,58.8558
1300,61.6604
1400,63.1506
1500,65.7647
1600,69.8713
1700,72.1803
1800,75.1332
1900,78.2624
2000,83.006
2100,84.0238
2200,88.0227
2300,89.0225
2400,90.05
2500,92.0217
2600,93.0054
2700,95
2800,96
2900,97.2934
3000,104.139
10,4.47214
100,14.3178
200,26
300,32.6956
400,38.6264
500,40.4969
600,44.2719
700,47.4342
800,48.0833
900,52.811
1000,55.7136
1100,58.5918
1200,60.9016
1300,62.434
1400,64.0703
1500,67.1193
1600,71.3442
1700,72.6911
1800,75.8024
1900,80.4114
2000,82.5651
2100,84.5281
2200,86.6833
2300,88.2836
2400,91.7824
2500,92.9624
2600,95.7079
2700,96.8814
2800,97.8621
2900,98.8433
3000,102.772
10,2.23607
100,14.8661
200,18.7883
300,23.3452
400,27.6586
500,30.8058
600,35
700,37.6431
800,42.72
900,46.6154
1000,47.4342
1100,48.0208
1200,52.3546
1300,54.5619
1400,60.0083
1500,63.6946
1600,66.4831
1700,69.6419
1800,71.5122
1900,73.3894
2000,75.6108
2100,78.7718
2200,81.6088
2300,82.8613
2400,85.0706
2500,86.6833
2600,87.6413
2700,89.8443
2800,90.5207
2900,92.0489
3000,92.0489
10,2.82843
100,14.3178
200,18.3576
300,25.6125
400,28.6007
500,30.5287
600,33.6155
700,35.8469
800,40.8167
900,46.1411
1000,49.6488
1100,51.3128
1200,53
1300,54.6717
1400,58.0517
1500,60.8276
1600,65.7951
1700,66.8431
1800,68.4105
1900,71.218
2000,72.2011
2100,73.0068
2200,73.2462
2300,74.4043
2400,75.8024
2500,77.8332
2600,78.4347
2700,79.3788
2800,85.44
2900,87.983
3000,89.6939
10,3.16228
100,14.1421
200,18.6011
300,24.5967
400,30.0832
500,33.8378
600,36.4005
700,41.1096
800,43.3244
900,46.4866
1000,49.1935
1100,49.6588
1200,53.2259
1300,55.9464
1400,58.3095
1500,60.208
1600,61.2944
1700,63.8122
1800,65.5134
1900,66.0379
2000,69.6419
2100,70.4911
2200,71.6938
2300,73.2393
2400,77.201
2500,79.404
2600,80.2122
2700,82.662
2800,83.2586
2900,86.9253
3000,88.7694
10,5
100,14.8661
200,22.8254
300,29.1204
400,32.0156
500,35
600,40.3113
700,43.1856
800,50.2096
900,55.9017
1000,57.4891
1100,58.7963
1200,60.959
1300,61.7171
1400,63.7024
1500,66.5282
1600,67.2086
1700,69.3542
1800,70.0928
1900,74.7262
2000,79.8123
2100,81.2527
2200,83.3607
2300,84.1724
2400,88.1192
2500,92.9139
2600,95.8853
2700,97.0155
2800,99.985
2900,101.119
3000,103.097
10,3
100,14.2127
200,20.2485
300,25.807
400,31.241
500,36.4005
600,41.0488
700,42.72
800,46.4004
900,48.8262
1000,52.345
1100,54.6443
1200,57.3847
1300,57.8014
1400,60.0333
1500,61.0737
1600,64.4127
1700,65.437
1800,66.0681
1900,69.527
2000,70.9366
2100,73.5391
2200,75.6637
2300,78.492
2400,79.9312
2500,81.3449
2600,82.8794
2700,84.9588
2800,85.0412
2900,87.2067
3000,89.4986
10,3.16228
100,13.1529
200,18.9737
300,24.0416
400,32.7567
500,33.9559
600,38.3275
700,43.0465
800,46.0109
900,51.0098
1000,56.0357
1100,66.0076
1200,68.0074
1300,70.0286
1400,73.1095
1500,75.1665
1600,76.4199
1700,77.6466
1800,78.4092
1900,80.895
2000,84.8528
2100,85
2200,86.977
2300,89.7385
2400,92.1792
2500,94.5569
2600,95.5249
2700,99.6393
2800,103.247
2900,104.738
3000,107.201
10,2.82843
100,17.4642
200,25.5539
300,30.0167
400,31.0161
500,35.4683
600,40.4969
700,44.0114
800,47.927
900,51.8845
1000,54.5894
1100,59.9416
1200,62.434
1300,65.5134
1400,69.3397
1500,72.4017
1600,72.4224
1700,75.452
1800,75.452
1900,76.2758
2000,79.6116
2100,83.006
2200,83.863
2300,86.4523
2400,87.983
2500,90.824
2600,93.5361
2700,96.2549
2800,98.0051
2900,98.8838
3000,101.119
10,3.16228
100,14.1421
200,19.2354
300,24.3311
400,28.2843
500,32.249
600,34.1321
700,36.2215
800,38.4708
900,41
1000,43.7379
1100,47.5184
1200,52.469
1300,53.4603
1400,57.2713
1500,60.531
1600,61.6604
1700,64.7765
1800,65.9242
1900,67.4685
2000,68.0661
2100,69.4622
2200,72.5672
2300,76.6877
2400,79.4292
2500,79.4292
2600,80.4114
2700,82.201
2800,86.1452
2900,87.1321
3000,87.9659
10,5.09902
100,14.3178
200,23.2594
300,26.2488
400,30.0832
500,32.3883
600,37.6563
700,42.4264
800,46.1736
900,49.0918
1000,54.231
1100,57.3149
1200,63.3877
1300,66.6108
1400,69.3542
1500,77.0584
1600,78.0577
1700,80.0999
1800,83.0542
1900,86.0523
2000,89.1403
2100,92.1358
2200,95.0842
2300,97.1288
2400,98.1275
2500,101.124
2600,102.078
2700,105.076
2800,107.075
2900,108.167
3000,108.227
10,2.23607
100,12
200,19.0263
300,23
400,28.0179
500,36
600,39.0512
700,43.1856
800,48.0416
900,52.0384
1000,54.1479
1100,55.1453
1200,58.0775
1300,60.1332
1400,61.0737
1500,62.0725
1600,65.2763
1700,67.1863
1800,68.4471
1900,71.1969
2000,74.5252
2100,76.4853
2200,76.4853
2300,77.1622
2400,78.1601
2500,84.214
2600,85.2877
2700,88.278
2800,90.2718
2900,93.3435
3000,93.6483
10,3
100,14.3178
200,19.7231
300,28.1603
400,34.7131
500,38.3275
600,41.4367
700,45.5412
800,50.3587
900,52.345
1000,56.1427
1100,60.0083
1200,61.5224
1300,62.514
1400,63.1981
1500,63.7887
1600,67.6831
1700,69.1231
1800,72.0347
1900,73.0068
2000,75.3127
2100,80.4114
2200,84.3445
2300,85.5102
2400,88.2836
2500,88.2836
2600,89.2693
2700,89.822
2800,91.9837
2900,91.9837
3000,93.145
10,2.82843
100,14.3178
200,19.0263
300,25.4951
400,29.5466
500,33.541
600,37.6431
700,39.3192
800,40.2616
900,43.9318
1000,50.8035
1100,50.8035
1200,54.7083
1300,57.5587
1400,61.4003
1500,64.3817
1600,66.6108
1700,69.3542
1800,72.3395
1900,74.3303
2000,77.4145
2100,78.4092
2200,80.1561
2300,81.2219
2400,83.4865
2500,86.2844
2600,90.05
2700,93.086
2800,97.0464
2900,101.045
3000,104.043
10,2.23607
100,17
200,26.1725
300,30.4138
400,32.573
500,35.7351
600,40.3113
700,42.2966
800,44.7772
900,49.98
1000,54.4243
1100,56.3028
1200,57.0088
1300,60.9262
1400,66.3099
1500,68.0294
1600,69.7711
1700,71.1126
1800,72.0069
1900,76.1577
2000,79.0759
2100,80.1561
2200,81.5414
2300,83.672
2400,85.0882
2500,86.0058
2600,89.1572
2700,92.3093
2800,92.3093
2900,94.7048
3000,94.7048
10,2
100,13.3417
200,21.2132
300,26.1725
400,32.0624
500,37.054
600,40.05
700,45.3982
800,49.4975
900,50.4876
1000,52.7731
1100,57.7062
1200,59.8415
1300,61.8142
1400,64.1327
1500,68.0661
1600,69.0507
1700,70.859
1800,73.4983
1900,77.3692
2000,81.0247
2100,82
2200,84.1724
2300,85.3756
2400,88.0738
2500,89.4986
2600,90.956
2700,92.6499
2800,96.8814
2900,98.8433
3000,101
10,3.16228
100,13.6015
200,18.4391
300,26.1725
400,31.1448
500,37.1214
600,40.3113
700,43.2897
800,44.911
900,46.8722
1000,49.6488
1100,54.0093
1200,60.0333
1300,62.0081
1400,63
1500,65.7647
1600,68
1700,73.0274
1800,74.0608
1900,78.2624
2000,78.7147
2100,82.2982
2200,86.4696
2300,88.5664
2400,91.444
2500,91.6624
2600,96.6282
2700,98.732
2800,101.833
2900,101.833
3000,102.703
10,3
100,13.8924
200,19.2354
300,26.0768
400,30.1496
500,34.1321
600,44.0454
700,45.0444
800,49.0102
900,50.4876
1000,56.8859
1100,60.0833
1200,62.6498
1300,66.1287
1400,69.5701
1500,74.0405
1600,76.922
1700,77.8845
1800,80.7775
1900,83.4326
2000,84.4038
2100,85.3815
2200,89.1852
2300,92.0489
2400,94.921
2500,99.3277
2600,101.242
2700,103.16
2800,103.446
2900,105.948
3000,106.977
10,3.16228
100,13.0384
200,18.2483
300,24.1868
400,31.7805
500,36.4005
600,40.5216
700,43.4626
800,47.0106
900,50.6063
1000,52.4786
1100,54.0833
1200,55.0364
1300,59.8164
1400,63.6003
1500,66.6108
1600,68.8186
1700,71.218
1800,73.2393
1900,74.0608
2000,75.452
2100,78.2368
2200,80.025
2300,83.0241
2400,86.0523
2500,87.0919
2600,89.0898
2700,91.1976
2800,96.2549
2900,97.2522
3000,99.3227
10,3.16228
100,13.0384
200,19.4165
300,28.1603
400,30.8058
500,37.2156
600,40.1123
700,43.566
800,47.8539
900,50.01
1000,52.1728
1100,56.8859
1200,60.6712
1300,63.5059
1400,67.082
1500,68.0661
1600,70.0357
1700,72.0069
1800,73.5527
1900,75.4255
2000,79.2275
2100,79.404
2200,82.0549
2300,86.093
2400,88.0909
2500,89.0505
2600,92.0489
2700,97.0052
2800,98.0051
2900,100.005
3000,100.02
10,4.12311
100,15.0333
200,18.1108
300,22.6274
400,26.6271
500,31.1448
600,37.2156
700,39.1152
800,41.0122
900,44.1022
1000,47.2969
1100,49.3356
1200,50.448
1300,53.1601
1400,55.5788
1500,60.0167
1600,60.0167
1700,61.5224
1800,64.0781
1900,68.542
2000,72.7805
2100,73.3485
2200,76.4853
2300,77.7817
2400,81.3941
2500,84.3445
2600,87.9659
2700,89.4427
2800,90.7965
2900,94.7629
3000,95.7549
10,3.60555
100,12.0416
200,19.6469
300,23.0868
400,30.8058
500,33.0151
600,34.7851
700,40.3113
800,44.7214
900,46.5296
1000,47.5079
1100,51.1077
1200,52.8394
1300,55.0727
1400,56.8595
1500,59.203
1600,61.4003
1700,64.8151
1800,67.2012
1900,68.9638
2000,72.9452
2100,75.1798
2200,80.0562
2300,82.7345
2400,83.2406
2500,84.1724
2600,86.2148
2700,88.2383
2800,91.7061
2900,93.0591
3000,94.7048
10,2.82843
100,11.4018
200,19
300,27.0185
400,29.0689
500,32.249
600,35.5106
700,39.1152
800,41.5933
900,44.7214
1000,46.6905
1100,49.0408
1200,52.1728
1300,58.0517
1400,59.0339
1500,61.8142
1600,63.7887
1700,69.5845
1800,71.5681
1900,73.8241
2000,75.9539
2100,78.0897
2200,78.7718
2300,80.895
2400,82.0366
2500,84.0119
2600,85.3288
2700,86.885
2800,88.8426
2900,90.4268
3000,91.2414
10,3.16228
100,11.4018
200,18.7883
300,26
400,31.0161
500,37.3631
600,41.7612
700,47.8017
800,51.6624
900,52.9528
1000,55.3624
1100,56.3205
1200,58.1893
1300,59.7746
1400,62.9682
1500,65.4599
1600,70.214
1700,72.4224
1800,75.2861
1900,76.243
2000,78.1601
2100,80.0812
2200,81.3204
2300,82.5651
2400,85.0706
2500,85.0706
2600,87.0976
2700,88.0738
2800,89.0505
2900,90.802
3000,93.7443
10,3.16228
100,17.2047
200,25.632
300,31.3209
400,37.108
500,41
600,42.72
700,46.3249
800,50.9608
900,51.923
1000,55.0818
1100,59.6657
1200,61.9839
1300,62.6418
1400,64.9384
1500,72.0069
1600,73.9797
1700,77.9295
1800,82.8734
1900,84.7172
2000,87.6926
2100,88.955
2200,89.9444
2300,90.934
2400,92.5419
2500,97.6217
2600,98.6154
2700,102.591
2800,103.586
2900,103.817
3000,106.471
10,4.47214
100,12.7279
200,21.8403
300,28.1603
400,32.311
500,35.8469
600,41.5933
700,45.1774
800,50.1199
900,53.3104
1000,57.0088
1100,59.9416
1200,63.5295
1300,65.7647
1400,67.9779
1500,75.1532
1600,76.9675
1700,81.0247
1800,82.8553
1900,84.0773
2000,89.3197
2100,90.6201
2200,91.5478
2300,93.9628
2400,95.8175
2500,97.4166
2600,99.3277
2700,101.533
2800,104.043
2900,106.733
3000,106.733
10,3.16228
100,14.2127
200,20.8806
300,26.6833
400,32.7567
500,35.6931
600,38.6005
700,41.7612
800,44.911
900,47.8017
1000,50.2494
1100,54.231
1200,56.2228
1300,62.514
1400,67.6018
1500,71.4493
1600,73.6817
1700,78.3135
1800,82.2982
1900,86.7006
2000,88.8144
2100,90.2552
2200,92.228
2300,94.0479
2400,96.0833
2500,97.1854
2600,99.1817
2700,103.238
2800,107.229
2900,108.167
3000,109.225
10,3.16228
100,14.4222
200,20.2485
300,23.2594
400,28.6007
500,35.8469
600,39.4462
700,42.1545
800,48.3322
900,50.1597
1000,55.3624
1100,57.5847
1200,63.5689
1300,66.4078
1400,68.352
1500,71.6938
1600,73.0068
1700,74.8465
1800,77.6209
1900,77.8332
2000,78.3901
2100,80.604
2200,84.22
2300,86.4523
2400,88.6848
2500,89.1852
2600,90.5539
2700,92.2822
2800,94.0213
2900,95.7131
3000,99.2824
10,3.16228
100,13.0384
200,23.2594
300,29.1548
400,33.2866
500,37.2022
600,43.2666
700,47.1699
800,50.9902
900,55.2268
1000,56.4358
1100,61.4003
1200,65
1300,68.6003
1400,72.2011
1500,73.9256
1600,76.9415
1700,79.177
1800,81.4125
1900,83.1865
2000,84.0952
2100,85.8836
2200,89.4427
2300,91.236
2400,92.1358
2500,94.9368
2600,98.6154
2700,98.6154
2800,102.416
2900,105.802
3000,108.005
10,3.60555
100,14.0357
200,20.025
300,25.0799
400,30.1496
500,35.1283
600,39.6232
700,44.4072
800,48.5077
900,55.4437
1000,57.7062
1100,60.1332
1200,61.131
1300,62.2013
1400,65.192
1500,66.1211
1600,67.4685
1700,71.5891
1800,74.9533
1900,76.3217
2000,78.2304
2100,81.3941
2200,83.4865
2300,84.4808
2400,86.4002
2500,88.2043
2600,90.1998
2700,91.351
2800,95.3362
2900,95.3362
3000,96.421
10,3
100,12.3693
200,20.0998
300,26.0192
400,30.0666
500,35.4683
600,40.3609
700,44.5533
800,49.0102
900,52.0384
1000,54.0093
1100,57.2189
1200,59.5399
1300,62.514
1400,64.4981
1500,68.3593
1600,71.1758
1700,74.1687
1800,76.1052
1900,78.1025
2000,80.025
2100,81.0987
2200,83.0963
2300,86.0233
2400,87.0057
2500,89.0505
2600,90.05
2700,90.05
2800,91.7878
2900,93.2631
3000,94.8262
10,3.16228
100,15.1327
200,23.1948
300,27.4591
400,31.7805
500,35.1141
600,38.6264
700,43.3244
800,47.8017
900,49.7293
1000,50.6952
1100,53.6004
1200,54.8179
1300,58.2495
1400,60.208
1500,62.3939
1600,68.7095
1700,70.5762
1800,71.3092
1900,73.5391
2000,74.9466
2100,78.2943
2200,80.1124
2300,83.3847
2400,84.214
2500,86.1452
2600,88.0511
2700,89.5545
2800,90.471
2900,94.4299
3000,97.17
10,3.60555
100,19.2354
200,27.8927
300,32.9848
400,34.9285
500,38.2099
600,44.2041
700,46.6154
800,49.93
900,53.8516
1000,56.0803
1100,58.8303
1200,61.5873
1300,64.6607
1400,66.888
1500,71.1969
1600,72.9452
1700,76.0592
1800,76.922
1900,79.2591
2000,83.2406
2100,84.9706
2200,85.4225
2300,89.0056
2400,89.8999
2500,90.377
2600,91.2853
2700,91.7878
2800,94.9368
2900,95.462
3000,97.6934
10,4.12311
100,13
200,22.0227
300,26.0192
400,30.0167
500,34.0147
600,36
700,40.5216
800,44.0114
900,46.0435
1000,48.0416
1100,52.0384
1200,56.0357
1300,58.0345
1400,62.0322
1500,63.1506
1600,67.1863
1700,67.1863
1800,70.2567
1900,72.3395
2000,73.437
2100,76.1643
2200,78.6384
2300,80.025
2400,85.0941
2500,86.093
2600,88.0227
2700,89.0225
2800,92.0489
2900,93.0484
3000,95.0474
10,4.24264
100,16.1245
200,25.4951
300,30.4631
400,33.2415
500,36.6879
600,39.2173
700,46.1736
800,52.3927
900,58.2495
1000,61
1100,64.6297
1200,66.3702
1300,66.9104
1400,70.0643
1500,73.9797
1600,74.9533
1700,77.1298
1800,78.3135
1900,81.4985
2000,83.6002
2100,85.3756
2200,86.4696
2300,88.459
2400,90.1388
2500,91.1373
2600,92.0869
2700,93.086
2800,95.0842
2900,97.719
3000,101.533
10,4.24264
100,12.6491
200,19.105
300,23.6008
400,28.6531
500,34
600,38.4838
700,40.7185
800,44.2945
900,47.0106
1000,50.1199
1100,53.8516
1200,55.4707
1300,58.0086
1400,60.4649
1500,62.2013
1600,65.4599
1700,66.4003
1800,69.814
1900,72.6223
2000,73.4098
2100,76.2168
2200,78.8733
2300,82.2192
2400,84.22
2500,86.5563
2600,88.5268
2700,88.6172
2800,90.6091
2900,94.1116
3000,94.8472
10,3.16228
100,13.8924
200,22.2036
300,28.0179
400,30.2324
500,35.0571
600,38.1182
700,42.4264
800,47.3814
900,50.8035
1000,54.1295
1100,56.5685
1200,61.3922
1300,63.3482
1400,68.1542
1500,71.8401
1600,73.7631
1700,77.3692
1800,78.339
1900,81.2527
2000,82.9759
2100,85.6154
2200,85.8662
2300,88.0568
2400,90.956
2500,90.956
2600,92.6499
2700,93.6216
2800,93.9202
2900,95.8019
3000,98.7168
10,3.60555
100,12.083
200,23
300,25.318
400,29.1548
500,32.0156
600,36.3456
700,38.2099
800,41.9762
900,46.2709
1000,47.8539
1100,50.6952
1200,55.9732
1300,61.0328
1400,62.2977
1500,63.5059
1600,65.8027
1700,70.8308
1800,73.2462
1900,75.9605
2000,79.3788
2100,81.3449
2200,81.7863
2300,84.7231
2400,86.7295
2500,87.8465
2600,90.6091
2700,92.5743
2800,92.7631
2900,93.9415
3000,96.8814
10,4.47214
100,16.1245
200,25.2389
300,29.5296
400,33.1059
500,34.9285
600,38.6005
700,42.72
800,46.3249
900,50.2892
1000,52.8867
1100,56.3028
1200,60.0083
1300,62.7694
1400,63.561
1500,66.6408
1600,70.2353
1700,74.7061
1800,80.4984
1900,82.2982
2000,84.534
2100,85.9593
2200,88.3233
2300,89.6939
2400,93.8136
2500,96.7988
2600,98.9798
2700,99.363
2800,102
2900,104.202
3000,105.679
10,3.16228
100,16.4924
200,21.587
300,27.6586
400,29.8329
500,33.0151
600,36.1248
700,40.3113
800,43.8406
900,48.1041
1000,53.0377
1100,54.5619
1200,56.0803
1300,61.5224
1400,64.9384
1500,67.897
1600,69.8713
1700,72.6911
1800,74.8131
1900,76.9415
2000,78.9177
2100,80.3057
2200,82.2982
2300,86.3713
2400,87.4643
2500,91.5478
2600,94.5304
2700,94.5304
2800,98.326
2900,98.5089
3000,103.31
10,3
100,15.2971
200,21.095
300,24.0832
400,28.4429
500,33.3766
600,36.6742
700,40.025
800,45.8912
900,50.8035
1000,53.4603
1100,55.3263
1200,57.2189
1300,61.2046
1400,63.2851
1500,66.3702
1600,67.897
1700,70.0357
1800,71.3863
1900,73.5459
2000,75.505
2100,76.4853
2200,78.6448
2300,80.05
2400,80.6226
2500,82.9759
2600,84.9294
2700,86.5794
2800,87.4643
2900,90.4489
3000,91.444
10,3.16228
100,14.5602
200,24.1868
300,30.8707
400,37
500,40.8044
600,46.8402
700,53.3667
800,57.9741
900,62.9365
1000,67.0671
1100,70.8378
1200,74
1300,74
1400,76.844
1500,79.0569
1600,80.0062
1700,82.8613
1800,86.0233
1900,87.9204
2000,93.9202
2100,95.2103
2200,97.4166
2300,99.93
2400,101.193
2500,104.695
2600,104.695
2700,106.607
2800,108.522
2900,110.44
3000,112.641
10,3.16228
100,13.1529
200,19.799
300,27.0185
400,31.6228
500,34.6699
600,39.4588
700,42.4264
800,45.3982
900,46.5296
1000,49.4975
1100,55.4437
1200,58.3095
1300,59.2115
1400,61.131
1500,65
1600,65.9697
1700,69.3758
1800,71.8053
1900,77.666
2000,81.5843
2100,82.7647
2200,83.7437
2300,87.6641
2400,90.2497
2500,91.7824
2600,93.1719
2700,94.1488
2800,96.1041
2900,96.1041
3000,96.1041
10,2.23607
100,14.8661
200,23.3452
300,27.2947
400,31.4006
500,36.0555
600,40.05
700,43.0465
800,47.0106
900,48.0104
1000,52.1536
1100,56.3205
1200,59.5399
1300,62.6498
1400,66.6108
1500,67.7422
1600,71.7008
1700,72.6911
1800,73.6817
1900,74.4312
2000,77.5242
2100,80.5047
2200,82.6075
2300,84.7172
2400,87.9659
2500,89.1067
2600,92.228
2700,93.2148
2800,95.0368
2900,98.1529
3000,98.1529
10,4.12311
100,14.3178
200,21.8403
300,24.7386
400,29.1204
500,32.9848
600,35.9026
700,39.8121
800,44.1814
900,45.1774
1000,49.366
1100,53.3385
1200,58.5491
1300,61.5224
1400,64.6297
1500,66.6108
1600,68.6586
1700,73.3485
1800,76.4853
1900,78.6448
2000,81.2158
2100,83.7257
2200,84.5931
2300,86.7006
2400,88.5664
2500,90.5539
2600,92.6553
2700,95.8853
2800,97.3242
2900,98.0612
3000,100.807
10,3.16228
100,13.0384
200,19.2354
300,28.1603
400,30.0666
500,36.2215
600,41.7732
700,43.9318
800,47.2969
900,51.1957
1000,56.7539
1100,59.203
1200,67.9117
1300,68.884
1400,70.0928
1500,71.5891
