Na,Rm
2800,91.0824
2900,94.5569
3000,97.1236
3100,97.1236
3200,99.0404
3300,103.47
3400,107.541
3500,109.563
3600,109.563
3700,111.086
3800,112.721
3900,113.088
4000,114.543
4100,116.362
4200,117.047
4300,120.017
4400,120.83
4500,121.248
4600,121.84
4700,123.762
4800,126.649
4900,127.201
5000,130.507
10,4.12311
100,15.5242
200,19.105
300,26.1725
400,31.0644
500,34.0588
600,41
700,45.0111
800,47.676
900,50.01
1000,51.1957
1100,55.5428
1200,58.4637
1300,63.3482
1400,65.7343
1500,69.1231
1600,70.8308
1700,74.3303
1800,77.1038
1900,77.9295
2000,81.8841
2100,82.201
2200,84.7172
2300,84.7172
2400,85.4751
2500,86.2844
2600,87.8237
2700,87.9659
2800,88.3912
2900,91.351
3000,92.3472
3100,94.3398
3200,96.421
3300,98.1835
3400,98.1835
3500,99.2472
3600,103.175
3700,106.231
3800,107.229
3900,110.114
4000,111.041
4100,113.358
4200,116.349
4300,117.273
4400,117.273
4500,118.152
4600,119.105
4700,120.967
4800,122.381
4900,123.11
5000,124.579
10,3.16228
100,12.0416
200,19.105
300,25.0799
400,28.4429
500,35.0571
600,38.3275
700,43.7379
800,46.8722
900,50.01
1000,51.9711
1100,55.109
1200,59.0339
1300,60.208
1400,62.5859
1500,63.7887
1600,66.7083
1700,69.4262
1800,72.1803
1900,74.1485
2000,78.2624
2100,79.9062
2200,81.8841
2300,84.7172
2400,86.1452
2500,86.4696
2600,87.6641
2700,89.4539
2800,92.0706
2900,93.0591
3000,93.3916
3100,95.3415
3200,96.3172
3300,98.9545
3400,99.925
3500,101.868
3600,102.883
3700,104.12
3800,106.32
3900,109.481
4000,110.055
4100,112.73
4200,114.543
4300,115.832
4400,116.362
4500,116.867
4600,118.68
4700,120.017
4800,121.852
4900,122.25
5000,125
10,3.16228
100,11.7047
200,19.9249
300,25.318
400,31.0483
500,34.9285
600,43.9318
700,46.5296
800,48.8365
900,51.6236
1000,54.1479
1100,57.1402
1200,64.1249
1300,68.1836
1400,73.171
1500,77.1622
1600,79.1581
1700,86.209
1800,89.4539
1900,94.0479
2000,95.8853
2100,96.026
2200,97.7394
2300,102.02
2400,106.019
2500,108.005
2600,111.005
2700,113.004
2800,113.004
2900,114.018
3000,116.004
3100,119.105
3200,119.206
3300,121.037
3400,123.102
3500,126.016
3600,129.016
3700,132.015
3800,133.06
3900,135.133
4000,137.091
4100,138.177
4200,139.129
4300,139.176
4400,140.129
4500,140.129
4600,141.128
4700,142.172
4800,145.169
4900,148
5000,150.013
10,4
100,12.2066
200,17.4929
300,23.3452
400,29.1548
500,32.1403
600,36.1248
700,38.3275
800,41.3038
900,46.0977
1000,51.4782
1100,56.3205
1200,58.5491
1300,59.5399
1400,63.1981
1500,65.0692
1600,67.1863
1700,69.1158
1800,72.1734
1900,73.3348
2000,75.4255
2100,78.1601
2200,84.1487
2300,89.1403
2400,91.1373
2500,93.1933
2600,96.2549
2700,99.0808
2800,103.121
2900,107.042
3000,110.041
3100,111.041
3200,112.004
3300,114.004
3400,116.004
3500,119.004
3600,119.004
3700,121.017
3800,123.037
3900,125.036
4000,128.016
4100,128.016
4200,130.035
4300,130.096
4400,132.185
4500,134.183
4600,135.181
4700,137.058
4800,140.129
4900,144.125
5000,145.169
10,5.09902
100,16.4924
200,25.318
300,31.0644
400,36.1248
500,41.1096
600,46.2709
700,51.2445
800,55.2268
900,59.2115
1000,62.0725
1100,66.0303
1200,68.0661
1300,69.0652
1400,72.0069
1500,74.3303
1600,76
1700,80.6226
1800,82.7345
1900,83.7257
2000,88.1192
2100,91.7824
2200,95.5249
2300,96.3379
2400,99.8248
2500,100.807
2600,103.755
