,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
0,10,3.16228,3.43565,0.5951564367723655,2.302585092994046,1.1512932864164753,1.2208753922689837,0.1586379656810445,0.0,0.0
1,100,15.6525,13.761994736842103,1.7553979574215481,4.605170185988092,2.7506306486373284,2.613659414213819,0.12907344718880157,1.5871200451037413,1.6650470498128092
2,200,20.8806,20.58227894736842,1.987290570118831,5.298317366548036,3.0388204982337617,3.020063153293984,0.09203835150740716,1.7662891736237343,1.7119997446717437
3,300,29.1548,26.023699999999998,2.2544828493237588,5.703782474656201,3.372619564763778,3.2553722953560738,0.0846527151176266,1.7448991586751674,1.8256963180936894
4,400,31.0644,30.045131578947366,2.378512112988838,5.991464547107982,3.4360624689882346,3.3997249698241827,0.07619825498906506,1.92536319380301,1.759395416272887
5,500,38.0132,34.757578947368415,2.568063867991508,6.214608098422191,3.6379334678289963,3.545713863284065,0.07300470993344348,1.2950198733075178,1.510766571259371
6,600,42.4853,39.31302631578947,3.286600970902848,6.396929655216146,3.7491581337463322,3.668108660476121,0.08276744747186043,1.845008784477286,1.5904697320052599
7,700,45.618,42.99824210526316,3.8035191421291468,6.551080335043404,3.8203023754743546,3.7572691226205563,0.08812348528791936,1.6520435407665373,1.7234305956033216
8,800,50.5668,46.45976842105263,3.9423704163936395,6.684611727667927,3.9232952344660252,3.83503274386288,0.0840657217915133,1.4704908981621525,1.6817347618924838
9,900,54.1202,49.873657894736844,3.767832013703682,6.802394763324311,3.9912074987872592,3.9067067354805642,0.07423394352193821,1.7988656274628312,1.7429889056053252
10,1000,57.2451,52.74204736842106,3.6579800991325437,6.907755278982137,4.047342049251706,3.9630562502642097,0.06833699196448335,2.124598453041553,1.806046964695699
11,1100,59.4811,55.70189473684212,3.746468491859564,7.003065458786462,4.085658615032248,4.017817187968693,0.06584395665856163,1.6563493969974479,1.659621130975939
12,1200,63.9062,58.9061947368421,4.589132282557827,7.090076835776092,4.157416383280782,4.072913586611055,0.07788860842908707,1.7878102379897938,1.7308632399948611
13,1300,65.307,61.35774210526315,4.2571742282653355,7.170119543449628,4.179099228086909,4.114332083428407,0.06901116574679372,4.349340470491563,1.6711334778149392
14,1400,66.2118,64.55562105263157,4.465278231984137,7.24422751560335,4.192858694792862,4.165156774766686,0.06871974447786995,2.748873031093965,1.5731248736352585
15,1500,68.7968,67.18282105263157,4.412324028824993,7.313220387090301,4.231157232229692,4.205298062060471,0.06484364832855515,1.3668345986740353,1.6906305367020684
16,1600,73.0068,69.81002631578946,4.023748162288546,7.3777589082278725,4.290552587495067,4.244139964603659,0.057047449595668286,1.1102657184074374,1.676291725649582
17,1700,77.0065,72.40701578947368,5.043210623597068,7.438383530044307,4.343889833875305,4.27996474509591,0.06780479088121051,1.4196852215193376,1.7001824978559623
18,1800,79.3221,74.87833157894735,5.3381997384347715,7.495541943884256,4.373516778338959,4.3134166662547555,0.06935746299689,2.5569904858472703,1.8363419670709231
19,1900,80.4301,76.93809999999999,5.553778754761944,7.549609165154532,4.387388484232375,4.340533874977332,0.06935091041360447,2.554613836017035,1.7734252535828465
20,2000,82.662,79.4690947368421,5.779352298300274,7.600902459542082,4.414760004290517,4.372827411334068,0.07062498875065697,1.1629638632459336,1.6141000364798583
21,2100,87.6584,81.87276842105263,6.004989352552349,7.649692623711514,4.473447442485506,4.402539609625137,0.07208240250152302,1.3406673870732164,1.6249082960047998
22,2200,88.7525,84.26474210526315,5.993984293247806,7.696212639346407,4.4858515969728705,4.431483139807279,0.07011423459937424,4.062059435559891,1.6348503804319992
23,2300,89.6437,86.56588947368422,6.454847118813594,7.7406644019172415,4.495842924296862,4.4581849330716095,0.07340958872063617,1.8775308709572576,1.8559990559053092
24,2400,92.9624,88.35072631578947,6.9008620771798155,7.783224016336037,4.532195110326271,4.478364293497946,0.07621842693528363,1.3121865136395148,2.141262449594896
25,2500,95.5249,90.00444736842105,6.789574087360515,7.824046010856292,4.559386946486041,4.497125329637582,0.07323755532145076,2.4562500056272216,1.9471810313154467
26,2600,96.0417,92.04027368421053,6.986504490564209,7.8632667240095735,4.564782472154326,4.5194712611533685,0.07343484569265396,7.099880368155346,2.030630528900589
27,2700,96.566,93.4832,7.107320651494431,7.90100705199242,4.570226712389888,4.535025400596229,0.07340595769031552,3.3600364774018794,2.102141639621944
28,2800,98.1835,95.33367368421052,7.068031676561996,7.937374696163295,4.586838176802814,4.554724819123444,0.07233040668804853,2.4047437385682175,1.8315933857336035
29,2900,99.4786,97.18926315789473,7.156254844629095,7.9724660159745655,4.599942545655637,4.574040044642634,0.07179789689229472,3.085014828185735,1.9691202854281784
30,3000,100.404,98.74251578947367,7.452256639594907,8.006367567650246,4.609202047101462,4.589762227451168,0.07360286779403429,2.9047401482371282,2.065788724989119
31,3100,101.789,100.38433684210524,7.514754497318067,8.039157390473237,4.622902043268236,4.606323779030342,0.07247243521147888,2.948409716595359,2.0603976852497787
32,3200,102.626,101.86248421052632,7.394221807619758,8.070906088787819,4.631091311939491,4.621085559640676,0.07060651927963309,2.8309183753828795,1.7414274063106538
33,3300,104.06200000000001,104.03464210526317,7.469307051373324,8.101677747454572,4.644986875358415,4.642225566698763,0.07015776445695195,2.7782861875769282,1.564328403989444
34,3400,104.89,105.8710052631579,7.40756315748151,8.131530710604252,4.652912181973512,4.659839968025658,0.06855925257598448,1.6752319298705414,1.4363750543993123
35,3500,107.78200000000001,108.37315789473682,7.585123997412811,8.160518247477505,4.6801106686516105,4.683190146139709,0.06873870745498784,1.4443911981622075,1.3502224361197137
36,3600,109.124,110.43688947368419,7.569772951395991,8.1886891244442,4.6924848503148,4.7021725587980425,0.06686062822752149,1.7359737419409602,1.4780245940058505
37,3700,111.288,112.5406842105263,8.142659607230895,8.216088098632316,4.712121435757269,4.720787525358008,0.07049007888235925,1.2488831840688206,1.5859959994772392
38,3800,113.95200000000001,114.27289473684213,7.913299670372851,8.242756345714477,4.7357773070953675,4.736262948236665,0.06771361619003806,1.481722729761924,1.4321086873305149
39,3900,115.31299999999999,116.70573684210527,7.683288960239463,8.268731832117737,4.747650170268806,4.757547119061438,0.06451203055610455,2.0938269610861093,1.308984275251696
40,4000,116.77799999999999,118.8356842105263,8.126615914147028,8.294049640102028,4.7602746964884926,4.775448517809445,0.06741131623849655,2.715946496363528,1.6147149219342511
41,4100,117.456,120.3926842105263,8.145110900687008,8.318742252692399,4.766063795368425,4.788518790837874,0.06658914610213362,1.5904104827038943,1.5442627054422577
42,4200,120.416,122.61052631578944,7.762219903369031,8.34283980427146,4.790952414411027,4.807042989396104,0.06250910818877993,0.976148918514987,1.5195415553023925
43,4300,123.329,124.17894736842103,7.593828751196396,8.366370301681654,4.814855581217772,4.819862487114595,0.060951550249686876,1.5499232128967704,1.8057871955603508
44,4400,124.085,125.83705263157894,8.343754042608383,8.389359819906353,4.820966814639248,4.832804616097891,0.06597446170319225,1.5433218209137136,2.051295829026678
45,4500,127.016,127.00457894736842,8.42956733806209,8.411832675758411,4.8443130627752105,4.842025245617512,0.06627373428416544,0.9612333604562796,2.3533416574828574
46,4600,129.958,128.2557894736842,8.780898680653218,8.433811582477187,4.867211321331913,4.851693400235754,0.06824641672318736,1.2525739587301534,1.9213106713856647
47,4700,131.503,129.9154210526316,8.680509761382035,8.45531778769815,4.879029665045804,4.864658291166765,0.06666915028155272,1.06668884712397,1.5416871522995843
48,4800,135.248,131.83515789473685,8.841448174206104,8.476371196895983,4.907110130186572,4.879299269789323,0.06716675058436417,1.2304504353934362,1.620059925760066
49,4900,136.033,133.31973684210524,9.184609293710782,8.496990484098719,4.912897503360839,4.890381226311289,0.06880840739511221,2.0975054809725258,1.7486770307282993
50,5000,137.906,134.98121052631578,9.54916375274449,8.517193191416238,4.926572293642435,4.902643771834537,0.07052596031962761,0.0,0.0
