ln_Na,1,0.9,0.8,0.75,0.7,0.6,0.5,0.4,0.3,0.25,0.2,0.1
2.302585093,1.213037625,1.212555917,1.224552252,1.267525556,1.178866608,1.164561252,1.195042323,1.182457444,1.149222096,1.199172389,1.151581199,1.118970822
4.605170186,2.642761457,2.632784504,2.637906266,2.579783985,2.62676919,2.584365812,2.601197314,2.527977451,2.483550314,2.469049606,2.441230079,2.401656487
5.298317367,3.035141709,3.037790752,3.026577528,2.968772327,3.011842471,2.97703555,2.985038067,2.925449547,2.885512675,2.859184169,2.833597944,2.742245017
5.703782475,3.303500416,3.282721157,3.263902451,3.221831189,3.261742409,3.199966019,3.229128836,3.161842386,3.123571433,3.096296225,3.064588513,2.948843212
5.991464547,3.466342448,3.445041232,3.424486411,3.403042641,3.422186154,3.380625152,3.391079241,3.333099056,3.28450091,3.252930275,3.203966297,3.101308304
6.214608098,3.599516955,3.561529169,3.56457625,3.538109388,3.551253853,3.517539998,3.521179874,3.463360456,3.416619609,3.372514364,3.340834623,3.216878074
6.396929655,3.697076475,3.65928242,3.664085416,3.647513872,3.656291539,3.620636503,3.626432061,3.572132577,3.522336753,3.467223569,3.447219953,3.313073075
6.551080335,3.783794285,3.756095815,3.759578747,3.747937066,3.749669863,3.705623587,3.70340374,3.64785235,3.60612286,3.555309159,3.537973295,3.393461282
6.684611728,3.864432451,3.830756289,3.836147634,3.826003462,3.815448971,3.776986794,3.775146787,3.726583286,3.678803879,3.638177229,3.610371989,3.469937447
6.802394763,3.929977012,3.892228117,3.904725856,3.891308649,3.882813404,3.85261906,3.83995268,3.792928142,3.742443284,3.706859178,3.665640854,3.54514544
6.907755279,3.989008821,3.951109472,3.963180819,3.946225843,3.944632244,3.913193303,3.895497052,3.849106227,3.797610383,3.773371332,3.735178372,3.600979313
